drug,disease
duloxetine,Osteoarthritis
alatrofloxacin,"Pneumonia, Bacterial"
procarbazine,Hodgkin's Lymphoma
eplerenone,Heart failure
salmeterol,Pulmonary Emphysema
tolnaftate,Tinea cruris
doxycycline,Chlamydia Infections
amcinonide,Leg Dermatoses
troleandomycin,Syphilis
mesalamine,Ulcerative Colitis
penicillin g potassium,Diphtheria
sialyl Lewis A,Pancreatic carcinoma
bedaquiline,"Tuberculosis, Drug-Resistant"
aspirin,Influenza-like symptoms
phenytoin,Status Epilepticus
"antihemophilic factor, human",Factor VII Deficiency
aspirin,Thrombus
losartan,IGA Glomerulonephritis
calcium lactate,Hypocalcemia
aspirin,Pregnancy loss
betamethasone,Alopecia
telmisartan,Essential Hypertension
ampicillin sodium,Meningococcal Infections
chloroquine,Neoplasms
methocarbamol,Muscle Spasticity
epinephrine,"Diabetes Mellitus, Insulin-Dependent"
ibuprofen,Patent ductus arteriosus
ciprofloxacin lactate,Bacterial conjunctivitis
silymarin,Insulin Resistance
Clip,pathologic fistula
adalimumab,Ulcerative Colitis
pilocarpine nitrate,Xerostomia
carbamazepine,Trigeminal Neuralgia
isopropamide iodide,Duodenitis
quetiapine,Generalized Anxiety Disorder
aprepitant,Nausea
disodium citrate sesquihydrate,Urination Disorders
ibuprofen lysine,Gout
cephalothin sodium,Staphylococcal Infections
imatinib mesylate,Neoplasm Metastasis
Challenge,Educator
glimepiride,Hypoglycemia
estradiol,Premature Menopause
Cisplatin/Irinotecan Regimen,Small cell carcinoma of lung
oxygen,Mediastinal Emphysema
relugolix,Fibroid Tumor
erythromycin ethylsuccinate,Urethritis
methotrexate,Lymphomatoid Papulosis
radium,Deafness
testosterone,Atherogenesis
aspirin,Adenomatous Polyposis Coli
isoproterenol,Cardiac Arrhythmia
methylprednisolone sodium succinate,Erythema Multiforme
fludarabine,Chronic Myelogenous Leukemia
halcinonide,Granuloma Annulare
ceftriaxone,Haemophilus influenzae pneumonia
Erythropoietin,Porphyria Cutanea Tarda
vancomycin,Bone infection (Osteomyelitis)
stiripentol,Myoclonic Epilepsy
Arecoline,Stress
estrone,Obesity
hydrocortisone acetate,Angioedema
irinotecan,Rectal Carcinoma
lidocaine,Nervousness
dexamethasone,Extranodal Lymphoma
mannitol,"Malaria, Cerebral"
aripiprazole,Autism
felbamate,"Seizures, Focal"
meclocycline,Sinusitis
duloxetine,Musculoskeletal Pain
ampicillin / sulbactam,Aspiration Pneumonia
naloxone,Analgesic effect
copper,Hepatolenticular Degeneration
vinorelbine,Ovarian Carcinoma
temozolomide,Brain Glioblastoma
capsaicin,Obesity
"nitrofurantoin, macrocrystals",Staphylococcal Infections
ibrutinib,Lymphoma
gentamicin sulfate,Urinary tract infection
hydrocortisone probutate,Hemorrhoids
tenofovir alafenamide,HIV-1
pramoxine,Hemorrhoids
Photofrin II,Neoplasms
eicosapentaenoic acid,Adenomatous Polyposis Coli
chlorhexidine acetate,Periodontal Diseases
isosorbide mononitrate,Poisoning
Tace,Liver carcinoma
estradiol,sex
calcitonin,Malignant neoplasm of breast
Adriamycin,Squamous cell carcinoma
cefuroxime axetil,Soft Tissue Infection
ibuprofen,Period Pain (Dysmenorrhea)
acyclovir,Hepatitis
Steroids,Lichen Planus
fosinopril,Congestive heart failure
amoxicillin trihydrate,Actinomycosis
doxepin,Urticaria
moricizine,Ventricular arrhythmia
hydrocortisone,Traumatic Brain Injury
methylprednisolone,Adrenal gland hypofunction
dantrolene,Crisis
tryptophan,Bacillus subtilis
gefitinib,Malignant Glioma
ampicillin,Proteus septicemia
folic acid,Enterococcus faecalis
beta carotene,Obesity
phenytoin,Diabetic foot ulcer
butylscopolamine bromide,Irritable Bowel Syndrome
curcumin,leukemia
prednisone,Kidney Diseases
dibrompropamidine,Conjunctivitis
moxifloxacin,Enterobacteriaceae Infections
eltrombopag olamine,Immune thrombocytopenic purpura
estradiol,Mammary Neoplasms
dexamethasone,Cyclitis
acyclovir,"Keratitis, Herpetic"
doxorubicin,Soft Tissue Neoplasms
penicillin G,Listeriosis
ibuprofen,Transverse Myelitis
IDA-DCTER Regimen,Childhood Acute Myeloid Leukemia
misoprostol,Fetal Death
glasdegib,"Leukemia, Myelocytic, Acute"
pipothiazine,Schizophrenia
cefotaxime,Proteus urinary tract infection
sulfadiazine,"Toxoplasmosis, Congenital"
calfactant,Respiratory Distress Syndrome
Azaguanine,Bacillus cereus
phenindamine tartrate,Common Cold
colestipol,"Hypercholesterolemia, Familial"
butyrate,Ulcerative Colitis
eltrombopag,Aplastic Anemia
betamethasone acetate,Allergic rhinitis (disorder)
methotrexate,Microglioma
Insulin,Hypertensive (finding)
cefixime anhydrous,Staphylococcal Infections
sirolimus,Hyperplasia
clindamycin,Infection caused by anaerobic bacteria
erythromycin,Bronchiectasis
levofloxacin,Sinusitis
itraconazole,Acute leukemia
oxygen,Cyanosis
bitolterol mesylate,Asthma
resveratrol,Cardiovascular Diseases
voriconazole,Sepsis
nifedipine,Systemic Scleroderma
temozolomide,Metastatic melanoma
famciclovir,Herpes Labialis
cortisone,Adrenal Insufficiency
ethanol,Substance Use Disorders
rasagiline,"Diabetes Mellitus, Non-Insulin-Dependent"
estrone,Menorrhagia
isotretinoin,Psoriasis
tacrolimus,Nephrotic Syndrome
progesterone,Threatened abortion
lithium,Schizoaffective Disorder
tenofovir alafenamide,Hepatitis B
antithrombin iii,Antithrombin III Deficiency
vesnarinone,Congestive heart failure
fenofibrate,"Hyperlipoproteinemia Type IIb, Elevated LDL   VLDL"
fluphenazine,Schizophrenia
quercetin,Hyperlipidemia
fluvoxamine,"Depressive episode, unspecified"
nefazodone,Post-Traumatic Stress Disorder
terbinafine,Onychomycosis
mitomycin,Glaucoma
"aluminum hydroxide, dried (USP)",Dyspepsia
metoclopramide,Hiccough
daunorubicin,Cardiotoxicity
olanzapine,"Depression, psychotic"
befunolol,"Glaucoma, Open-Angle"
carbamazepine,Seizure frequency
triamcinolone diacetate,Adrenal cortical hypofunction
methotrexate,Brain Tumor
colesevelam,"Enterocolitis, Pseudomembranous"
ceftriaxone,Acute pyelonephritis
omeprazole,Digestive System Disorders
dexamethasone,Tuberculosis
lamotrigine,Schizoaffective Disorder
estradiol,Ovarian Hyperstimulation Syndrome
iron sucrose,Iron deficiency
olanzapine,Borderline Personality Disorder
albendazole,"Echinococcosis, Pulmonary"
metronidazole benzoate,Bacteroides Infections
imiquimod,HIV Seropositivity
linaclotide,Irritable bowel syndrome characterized by constipation
benzyl alcohol,Head Lice
Particle,Urban cutaneous leishmaniasis
cidofovir,AIDS-Related Opportunistic Infections
rituximab,Pemphigus
amoxicillin,Streptococcus pneumoniae
bismuth subcarbonate,Stomach Diseases
acetazolamide,Migraine Disorders
morphine,Opioid abuse
tretinoin,Hyperpigmentation
resveratrol,Hypersensitivity
melatonin,Metabolic Diseases
fenoldopam,"Hypertension, Renovascular"
Particle,Insulin Resistance
zonisamide,Juvenile Myoclonic Epilepsy
flecainide,Sustained ventricular tachycardia
gonadorelin hydrochloride,Delayed Puberty
bleomycin,Venous malformation
itraconazole,Did not receive therapy or drug for
Neridronic Acid,Humoral hypercalcemia of malignancy (disorder)
follicle stimulating hormone,Varicocele
oxygen,Systemic arterial pressure
glucose,Mesocricetus auratus
diltiazem,Tachycardia
ascorbic acid,Common Cold
glucosamine sulfate,Back Pain
melphalan flufenamide,Multiple Myeloma
cyclophosphamide lyophilized,Pure Red-Cell Aplasia
ketoconazole,Chronic Mucocutaneous Candidiasis
linezolid,Thrombocytopenia
methylphenidate,Schizophrenia
ketorolac,Migraine Disorders
Steroids,Diabetes Mellitus
parecoxib sodium,"Pain, Postoperative"
MART-1 Antigen,melanoma
vorapaxar,Cerebrovascular accident
lidocaine,Cough suppression
ceftazidime pentahydrate,"Skin Diseases, Bacterial"
apigenin,Malignant tumor of colon
triamcinolone diacetate,Hand Dermatoses
sanguinarine,Inflammatory disorder
Ferritin,Chronic Kidney Diseases
enalaprilat anhydrous,Heart failure
rifampin,"Tuberculosis, Extrapulmonary"
naloxone,Spinal Cord Injuries
cefdinir,Streptococcal Infections
melatonin,Glucose increased
ethacrynic acid,Heart failure
linezolid,Central Nervous System Infection
Ferritin,Obesity
moxidectin,"Onchocerciasis, River Blindness"
carboplatin,Locally Advanced Malignant Neoplasm
olodaterol / tiotropium,COPD
halobetasol,Eczema
Growth Hormone,Acromegaly
clomiphene citrate,Infertility
atorvastatin,Cerebrovascular accident
lisdexamfetamine,ADHD (Attention Deficit Hyperactivity Disorder)
azathioprine,Vasculitis
phosphorylcholine,"Lupus Erythematosus, Systemic"
lindane,Scabies
trimethoprim,Recurrent urinary tract infection
pravastatin,"Hyperlipoproteinemia Type III, Elevated beta-VLDL   IDL"
divalproex sodium,Mania
ciprofloxacin,Kidney Diseases
lactate,Wounds and Injuries
desipramine,inpatient
resveratrol,Gestational Diabetes
amoxicillin anhydrous,Urinary tract infection
ampicillin,Bacterial Endocarditis Prevention (Bacterial Endocarditis Prophylaxis)
ethanol,Homelessness
salmon calcitonin,Idiopathic osteoporosis
midazolam,Burn injury
alitretinoin,Kaposi's Sarcoma
cefoperazone,"Pneumonia, Bacterial"
acetylcysteine zinc,Amyloidosis
cefdinir,Streptococcal pneumonia
divalproex sodium,Bipolar Disorder
gamma-linolenic acid,Glioma
carbamazepine,"Epilepsy, Rolandic"
atropine,Depressed mood
infliximab-qbtx,Rheumatoid Arthritis
dihydroergocryptine,Hypotension
smallpox and monkeypox vaccine,Smallpox Prophylaxis
methylene blue,Cyanosis
busulfan,Philadelphia chromosome positive chronic myelogenous leukemia
antithrombin (recombinant),Antithrombin III Deficiency
pazopanib,Renal Cell Carcinoma
betamethasone,Acute lymphocytic leukemia
binimetinib,melanoma
Erythropoietin,Asphyxia
fluconazole,Meningitis
cyproheptadine pyrid phos,Dyskinetic syndrome
leuprolide,Mammary Neoplasms
cortisone acetate,Transplanted organ rejection
methscopolamine,Common Cold
exenatide,Morbid obesity
simvastatin,Pulmonary arterial hypertension
urethane,Neoplasms
prasterone,Osteoporosis
lansoprazole,Nonulcer dyspepsia
tyrosine,Ascorbic Acid Deficiency
cefuroxime,Urinary Tract Infection
demeclocycline,Acute gonococcal urethritis
neostigmine,Obstruction
desloratadine,Hay fever
bleomycin sulfate,"Lymphoma, Non-Hodgkin"
infliximab-abda,Ulcerative Colitis
adalimumab,Hidradenitis Suppurativa
carboplatin,Cancer
trospium,Urinary Incontinence
fluticasone propionate,"Dermatitis, Atopic"
urea,Ruminants
famotidine,GERD
cabozantinib,Thyroid cancer metastatic
alendronate,Poisoning by vitamin D
topotecan,Ovarian Cancer
kanamycin A,Proteus Infections
cidofovir,"Leukoencephalopathy, Progressive Multifocal"
chloroquine,Severe Acute Respiratory Syndrome
hydrocortisone,Aspiration pneumonitis
clindamycin,Bacterial Vaginitis
imipramine,Generalized Anxiety Disorder
cysteamine,Chloasma
treprostinil sodium,Pulmonary Hypertension
ketamine,Feeling suicidal (finding)
mometasone,Atopic Dermatitis
ascorbic acid,"Kidney Failure, Chronic"
nivolumab,Melanoma
aripiprazole,Aggressive behavior
quinapril hydrochloride,"Ventricular Dysfunction, Left"
streptomycin,Mycobacterium Infections
lithium orotate,Post-Traumatic Stress Disorder
"hyaluronidase, ovine",Extravasation of Diagnostic and Therapeutic Materials
dexamethasone,Dermatitis Herpetiformis
amoxicillin trihydrate,Otitis Media
cyclophosphamide,Hodgkin's Lymphoma
ceftazidime,Vegetation
fosfomycin tromethamine,Klebsiella Infections
nitroprusside,Systemic arterial pressure
warfarin,Hyperthyroidism
fludarabine,"Lymphoma, Follicular"
idoxuridine,Urban cutaneous leishmaniasis
chlorcyclizine,Nasal congestion (finding)
afamelanotide,Erythropoietic Protoporphyria
diclofenac,Rheumatoid Arthritis
naproxen,Migraine Disorders
risedronate sodium monohydrate,"Osteoporosis, Postmenopausal"
propranolol,Bleeding varices
isoproterenol,Common Cold
ampicillin,Upper Respiratory Tract Infection
sirolimus,Memory impairment
Particle,"Diabetes Mellitus, Insulin-Dependent"
megestrol acetate,Carcinoma breast stage IV
aspirin,Subarachnoid Hemorrhage
ethanol,Intoxication
metronidazole,Clostridium difficile infection
nilotinib,"Leukemia, Myeloid, Chronic-Phase"
lifitegrast,Dry Eye Syndromes
"MDL-17,043",Heart failure
opipramol,Depressive disorder
neomycin,Bacterial keratitis
thioctic acid,Endometriosis
midazolam hydrochloride,Psychomotor Agitation
thiopental,Status Epilepticus
esomeprazole strontium,Helicobacter Infections
erlotinib,Malignant neoplasm of lung
fluconazole,Chronic disseminated candidiasis
N(4)-oleylcytosine arabinoside,Thrombus
rifabutin,Mycobacterium Infections
scopolamine,Dysentery
lomustine,Glioma
peginterferon alfa-2a,Skin Neoplasms
sulfisoxazole diolamine,Nocardia Infections
dalteparin,Non-Q wave myocardial infarction
cefoxitin,"Bone Diseases, Infectious"
imipramine,Attention deficit hyperactivity disorder
cefotaxime,Proteus Infections
cilgavimab,Pre-Exposure Prophylaxis
docetaxel anhydrous,Stomach Neoplasms
hydroflumethiazide,Liver Cirrhosis
Particle,AIDS related complex
olanzapine,Gilles de la Tourette syndrome
wound care,Wounds and Injuries
Insulin,Idiopathic hirsutism
methotrexate,Immunocompromised Host
ciprofloxacin,Helicobacter pylori
pentobarbital,Craniocerebral Trauma
gonadorelin,Uterine Fibroids
lamivudine,Hepatitis B
citalopram,Somatoform Pain Disorder
amoxicillin,Actinomycosis
leflunomide,Rheumatoid Arthritis
scopolamine hydrobromide,Dysentery
trilostane,Adrenal Gland Hyperfunction
chlorhexidine,Stomatitis
brolucizumab,exudative macular degeneration
demeclocycline,Gonorrhea of pharynx
aminolevulinic acid,Skin Nodular Basal Cell Carcinoma
tazobactam,Abdominal Abscess
mesalamine,Lymphocytic Colitis
interferon gamma-1b,Cutaneous T-cell Lymphoma
norepinephrine bitartrate,Hypotension
ceftizoxime,Haemophilus influenzae pneumonia
ofloxacin,Klebsiella Infections
cortisone acetate,Inflammatory dermatosis
doxycycline,Melioidosis
ranitidine,Curling Ulcer
piperazine hydrate,Ascariasis
levothyroxine,"Diabetes Mellitus, Insulin-Dependent"
Docetaxel/Vandetanib Regimen,Non-Small Cell Lung Carcinoma
zinc,Febrile Convulsions
ondansetron,Malignant neoplasm of breast
Tridione,Epilepsy
trioxsalen,Photosensitivity of skin
pyridoxine,Hyperhomocysteinemia
fumaric acid,Psoriasis
urethane,Adenoma
lanadelumab,Hereditary Angioedema
chloramphenicol palmitate,Bacterial Infections
prednisolone,Wheezing
tacrolimus,Glomerulonephritis
zinc,Hepatolenticular Degeneration
dexamethasone,Humoral hypercalcemia of malignancy (disorder)
levocarnitine,Peripheral Neuropathy
Particle,Exanthema
oxygen,Hypoxemia
terbutaline sulfate,Asthma
pantoprazole,GERD
Abscisic Acid,Stress
esketamine,Unipolar Depression
paclitaxel,Platinum-Resistant Ovarian Carcinoma
methylprednisolone,Immunosuppression
triamcinolone,Alopecia
diphenhydramine,Insomnia
levetiracetam,Bipolar Disorder
Cannabinoids,Mental disorders
adalimumab-aqvh,Rheumatoid Arthritis
mitoxantrone,Malignant Neoplasms
potassium citrate,Hypokalemia
vancomycin,Hypersensitivity
aspirin,Hypersensitivity
hydroxychloroquine,Malaria
levoketoconazole,Tinea Pedis
oritavancin,Osteomyelitis
silver sulfadiazine,Wound Infection
penicillin G potassium,Pericarditis
sodium chloride,Depressed mood
thyroglobulin,Thyrotoxicosis
fosfomycin tromethamine,Urinary tract infection
esomeprazole,Zollinger-Ellison Syndrome
exenatide,Fatty Liver
ascorbic acid,Septicemia
ranitidine,Pathological Hypersecretory Conditions
hyoscyamine sulfate,Muscle Rigidity
caffeine,Brain Injuries
quinoline,Salmonella
Insulin,Asthma
hydrogen peroxide,Necrosis
progesterone,Cerebrovascular accident
magnesium trisilicate,Heartburn
alclometasone dipropionate,Lichen Simplex Chronicus
hepcidin,Inflammatory Bowel Diseases
ciprofloxacin hydrochloride,Staphylococcal Infections
amikacin,Acinetobacter Infections
duloxetine,"Major depression, single episode"
colchicine,Heart failure
mirtazapine,Sleeplessness
artesunate,"Malaria, Vivax"
amoxicillin,Chlamydia Infection
Carbapenems,Severe infection
hydroxypropylcellulose,Keratitis
isoniazid,Active tuberculosis
nalidixic acid,Salmonella infections
fluorouracil,Recurrent Carcinoma
ampicillin trihydrate,Salmonella infections
ritlecitinib,Alopecia Areata
prednisolone,"Arthritis, Adjuvant-Induced"
charcoal,Uremia
cefotaxime,Salmonella infections
iloprost,Gangrene
carvedilol,Angina
cyclosporine,Aplastic Anemia
prednisone,Steroid-Sensitive Nephrotic Syndrome
arginine hydrochloride,Acidosis
paclitaxel,Malignant neoplasm of lung
hydroxocobalamin acetate,"Anemia, Pernicious"
oblimersen,Chronic Lymphocytic Leukemia
Gentamicins,Primary bacterial peritonitis
doxazosin,"Fibrosis, Liver"
furosemide,Renal Failure
ticarcillin,Bacterial Infections
triamcinolone,Frozen Shoulder
benzquinamide,Vomiting
tripelennamine,"Rhinitis, Allergic, Perennial"
amiodarone hydrochloride,Cardiac Arrhythmia
Growth Hormone,Dwarfism
pseudoephedrine sulfate,"Rhinitis, Allergic, Perennial"
nicardipine,Heart failure
bleomycin,Hemangioma
chlorpromazine hydrochloride,Acute intermittent porphyria
zoledronic acid,Neoplasms
ajoene,Tinea Pedis
ramipril,Intermittent Claudication
vincristine,Cancer
nafcillin,Septicemia
loracarbef,Urinary tract infection
palonosetron,"Nausea/Vomiting, Chemotherapy Induced"
mesalamine,Proctitis
senna concentrate,Constipation
buparvaquone,Theileriasis
glimepiride,"Diabetes, Type 2"
gefitinib,Non-Small Cell Lung Carcinoma
monobenzone,Vitiligo
gentamicin,Plague
triamcinolone acetonide,Bronchospasm
necitumumab,Non-Small Cell Lung Carcinoma
tacrolimus,"Kidney Failure, Acute"
propantheline bromide,Urethral Diseases
ibuprofen,Soft Tissue Injuries
propranolol,Hemangioma of liver
pembrolizumab,Endometrial Cancer
esomeprazole,Peptic Ulcer
amisulpride,Postoperative Nausea
moxifloxacin hydrochloride monohydrate,Haemophilus Infections
octreotide,Protein-Losing Enteropathies
itraconazole,"Candidiasis, Chronic Mucocutaneous"
pregabalin,Syringomyelia
naltrexone,Compulsive Personality Disorder
ampicillin,Acute bacterial epiglottitis
ecothiopate,Esotropia
cisplatin,High-Risk Cancer
digoxin,Atrial Fibrillation
alfuzosin,Benign Prostatic Hyperplasia
topiramate,Fibromyalgia
thalidomide,Lichen Planus
methylene blue,Neurodegenerative Disorders
alendronate,Back Pain
ciprofloxacin,Bacterial keratitis
prednisone,"Glomerulonephritis, Membranoproliferative"
Histone deacetylase inhibitor,Pancreatic carcinoma
riboflavin,"Platelets, CTCAE"
estradiol,Hyperplasia
mycophenolate mofetil,Takayasu Arteritis
Steroids,Migraine Disorders
maraviroc,HIV Infections
mitiglinide,Diabetic
prulifloxacin,Acute exacerbation of chronic bronchitis
hydroxyzine,Anxiety
zolpidem,Progressive supranuclear palsy
ergocalciferol,Postmenopausal state
propranolol hydrochloride,Supraventricular tachycardia
levodopa,Motor symptom NOS
rosiglitazone,Cerebral Vasospasm
pentosidine,Asthma
nortriptyline,Diabetic Peripheral Neuropathy
gemcitabine,Locally Recurrent Malignant Neoplasm
Fansidar,"Malaria, Falciparum"
